budget,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
3000000,http://www.tsotsimovie.com/,868,af,Tsotsi,"The South African multi-award winning film about a young South African boy from the ghetto named Tsotsi, meaning Gangster. Tsotsi, who left home as a child to get away from helpless parents, finds a baby in the back seat of a car that he has just stolen. He decides that it his responsibility to take care of the baby and in the process learns that maybe the gangster life isnâ€™t the best way.",2.504169,8/18/2005,9879971,94,Released,In this world... Redemption comes just once.,Tsotsi,6.9,94
0,http://www.thesquarefilm.com/,159037,ar,The Square,"The Square, a new film by Jehane Noujaim (Control Room; Rafea: Solar Mama), looks at the hard realities faced day-to-day by people working to build Egyptâ€™s new democracy. Catapulting us into the action spread across 2011 and 2012, the film provides a kaleidoscopic, visceral experience of the struggle. Cairoâ€™s Tahrir Square is the heart and soul of the film, which follows several young activists. Armed with values, determination, music, humor, an abundance of social media, and sheer obstinacy, they know that the thorny path to democracy only began with Hosni Mubarekâ€™s fall. The life-and-death struggle between the people and the power of the state is still playing out.",4.892203,6/7/2013,0,88,Released,What does it mean to risk your life for your ideals? How far will five revolutionaries go in defending their beliefs in the fight for their nation?,The Square,7.8,55
0,http://www.bacfilms.com/site/caramel/,7973,ar,Ø³ÙƒØ± Ø¨Ù†Ø§Øª,"In a beauty salon in Beirut the lives of five women cross paths. The beauty salon is a colorful and sensual microcosm where they share and entrust their hopes, fears and expectations.",4.554574,7/1/2007,0,96,Released,,Caramel,6.8,52
36000000,,365222,cn,è‘‰å•3,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",19.167377,12/19/2015,156844753,105,Released,,Ip Man 3,6.5,379
25000000,,290864,cn,ä¸€å€‹äººçš„æ­¦æž—,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.",6.895866,10/31/2014,0,100,Released,Kung Fu is a Skill for Killing,Kung Fu Jungle,6.5,114
23000000,http://www.bodyguardsandassassins.com/,30596,cn,åæœˆåœåŸŽ,"In 1905, revolutionist Sun Yat-Sen visits Hong Kong to discuss plans with Tongmenghui members to overthrow the Qing dynasty. But when they find out that assassins have been sent to kill him, they assemble a group of protectors to prevent any attacks.",7.876883,12/18/2009,5837674,139,Released,"To save a nations future, they must protect one man from its past.",Bodyguards and Assassins,6.5,57
20000000,,9470,cn,åŠŸå¤«,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.",13.658985,2/10/2004,100914445,99,Released,So many gangsters...so little time.,Kung Fu Hustle,7.2,831
0,,13688,cn,é•·æ±Ÿä¸ƒè™Ÿ,"Ti, a really poor construction worker that struggles to keep his son, Dicky, in private school, mistakes an orb he finds in a junkjard for a toy which proves to be much, much more once the young boy starts to play with it.",12.373248,1/30/2008,47301471,86,Released,It's out of this world.,CJ7,6.1,107
0,,244339,cn,é€ƒå‡ºç”Ÿå¤©,"On the hottest day in 50 years, a serious fire incident happened to a busy commercial tower, a gaggle of fire fighters with an indestructible enthusiasm are going to save lives.",1.583918,3/10/2013,0,107,Released,,Out of Inferno,5.8,11
0,,11770,cn,å°‘æž—è¶³çƒ,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,17.54768,7/12/2001,42776760,113,Released,Get ready to kick some grass!,Shaolin Soccer,6.6,491
140000000,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,7/9/2003,655011224,143,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
125000000,http://www.thehungergames.movie/,131631,en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,206.227151,11/18/2014,752100229,123,Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
125000000,http://www.sonypictures.com/homevideo/thedavincicode/index.html,591,en,The Da Vinci Code,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",45.313197,5/17/2006,767820459,149,Released,Seek the truth.,The Da Vinci Code,6.5,2704
103000000,http://www.riomovies.com/,172385,en,Rio 2,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",42.40024,3/19/2014,500188435,102,Released,"He's villainous, she's venomous.",Rio 2,6.3,978
110000000,,36658,en,X2,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses â€“  Magneto and Mystique â€“ to unhinge Stryker's scheme to exterminate all mutants.",2.871739,4/24/2003,407711549,133,Released,The time has come for those who are different to stand united.,X2,6.8,3506
125000000,http://www.watchvideoseries.com/movies/fast-five-2011-2/,51497,en,Fast Five,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",7.255718,4/20/2011,626137675,130,Released,Get the Fifth Gear.,Fast Five,7.1,2438
125000000,http://sherlockholmes2.warnerbros.com/index.html,58574,en,Sherlock Holmes: A Game of Shadows,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmesâ€™ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",81.499621,11/22/2011,334615000,129,Released,The game is afoot.,Sherlock Holmes: A Game of Shadows,7,3886
125000000,http://www.clash-of-the-titans.com/,18823,en,Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",47.686442,4/1/2010,232713139,106,Released,Titans will clash.,Clash of the Titans,5.6,2233
65000000,,861,en,Total Recall,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",43.129703,6/1/1990,261317921,113,Released,"They stole his mind, now he wants it back.",Total Recall,7.1,1710
160000000,,1911,en,The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.",27.220157,8/27/1999,61698899,102,Released,Prey for the living.,The 13th Warrior,6.4,510
